Trial.ID Target.ID lexicality morphtype target prime primetype logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
11140 140 WORD OR shove shovel rel 3,78 5 6 3,55 8 2
11141 141 WORD OR shun shunt rel 2,81 4 5 2,94 24 4
11142 142 WORD OR sigh sight rel 3,66 4 5 4,64 14 12
11143 143 WORD OR smug smuggle rel 3,45 4 7 3,12 8 1
11144 144 WORD OR squaw squawk rel 2,11 5 6 3,6 4 2
11145 145 WORD OR stir stirrup rel 4,18 4 7 2,98 20 1
11146 146 WORD OR stun stunt rel 3,41 4 5 3,88 19 11
11147 147 WORD OR tact tactile rel 2,88 4 7 3,3 18 0
11148 148 WORD OR twin twinkle rel 4,01 4 7 3,91 18 4
11149 149 WORD OR twit twitch rel 3,15 4 6 3,16 12 1
11150 150 WORD OR weir weird rel 3,53 4 5 4,75 17 2
12151 151 NONWORD NA fids fatal rel NA 4 5 3,95 23 4
12152 152 NONWORD NA ribed ribbon rel NA 5 6 3,58 11 1
12153 153 NONWORD NA crony cranky rel NA 5 6 2,75 3 7
12154 154 NONWORD NA meye crummy rel NA 4 6 2,7 10 5
12155 155 NONWORD NA esigh edible rel NA 5 6 3,7 0 0
12156 156 NONWORD NA gruf grouse rel NA 4 6 3,5 10 4
22157 157 NONWORD NA tood awaken ctrl NA 4 6 2,7 32 3
22158 158 NONWORD NA licey lively ctrl NA 5 6 3,92 12 6
12159 159 NONWORD NA yurd engage rel NA 4 6 4,13 14 1
12160 160 NONWORD NA mals manual rel NA 4 6 3,7 41 1
22161 161 NONWORD NA lecy legacy ctrl NA 4 6 4,32 14 0
22162 162 NONWORD NA balp portal ctrl NA 4 6 3,27 13 3
22163 163 NONWORD NA thuly smelly ctrl NA 5 6 3,87 3 5
12164 164 NONWORD NA snool snobby rel NA 5 6 2,56 8 3
12165 165 NONWORD NA verty sudden rel NA 5 6 4,54 8 4
12166 166 NONWORD NA rell trashy rel NA 4 6 2,76 28 3
22167 167 NONWORD NA unzed unique ctrl NA 5 6 4,66 2 1
12168 168 NONWORD NA agsel absence rel NA 5 7 3,89 2 0
12169 169 NONWORD NA anopy analogy rel NA 5 7 3,33 0 0
12170 170 NONWORD NA arwor armoury rel NA 5 7 3,01 2 1
12171 171 NONWORD NA conly content rel NA 5 7 4,22 8 6
12172 172 NONWORD NA strul fixture rel NA 5 7 3,54 5 1
12173 173 NONWORD NA abtle gluteal rel NA 5 7 1,39 2 0
22174 174 NONWORD NA haly halogen ctrl NA 4 7 2,19 20 0
22175 175 NONWORD NA halfe haulier ctrl NA 5 7 2,08 9 0
22176 176 NONWORD NA suyte maximum ctrl NA 5 7 4,48 2 1
22177 177 NONWORD NA merks merrier ctrl NA 5 7 2,99 13 6
22178 178 NONWORD NA whese neutron ctrl NA 5 7 2,82 6 0
22179 179 NONWORD NA pasks passant ctrl NA 5 7 2,65 10 1
22180 180 NONWORD NA brits rancour ctrl NA 5 7 2,4 17 0
12181 181 NONWORD NA lerf tackler rel NA 4 7 2,58 10 6
22182 182 NONWORD NA pumy upstart ctrl NA 4 7 2,73 6 0
22183 183 NONWORD NA venic veteran ctrl NA 5 7 3,82 6 0
12184 184 NONWORD NA fewtu abstract rel NA 5 8 3,64 0 0
22185 185 NONWORD NA huare criminal ctrl NA 5 8 4,55 2 0
12186 186 NONWORD NA smaply fabulous rel NA 6 8 4,74 1 1
12187 187 NONWORD NA facmod faceless rel NA 6 8 2,77 0 1
12188 188 NONWORD NA farxy farcical rel NA 5 8 2,74 5 0
12189 189 NONWORD NA orive original rel NA 5 8 4,93 7 0
22190 190 NONWORD NA blidar reliable ctrl NA 6 8 3,86 0 1
22191 191 NONWORD NA secly sensuous ctrl NA 5 8 2,67 4 1
22192 192 NONWORD NA nalky unspoilt ctrl NA 5 8 3,03 6 0
12193 193 NONWORD NA verks vertical rel NA 5 8 3,65 16 0
22194 194 NONWORD NA fagor monastery ctrl NA 5 9 3,59 2 0
22195 195 NONWORD NA pirent piratical ctrl NA 6 9 1,84 1 0
22196 196 NONWORD NA sisby religious ctrl NA 5 9 4,43 4 1
12197 197 NONWORD NA abgaid stressful rel NA 6 9 3,95 0 0
22198 198 NONWORD NA vicis vivacious ctrl NA 5 9 2,58 4 0
22199 199 NONWORD NA difrol difference ctrl NA 6 10 5,09 0 0
22200 200 NONWORD NA flepity socialiser ctrl NA 7 10 1,39 0 2
22201 201 NONWORD NA dusy dusty ctrl NA 4 5 3,72 13 12
12202 202 NONWORD NA kuty jetty rel NA 4 5 2,98 12 13
12203 203 NONWORD NA mord power rel NA 4 5 5,29 31 14
22204 204 NONWORD NA uls utter ctrl NA 3 5 3,71 39 6
22205 205 NONWORD NA glef bubble ctrl NA 4 6 4,16 6 11
22206 206 NONWORD NA anwe answer ctrl NA 4 6 5,56 5 1
12207 207 NONWORD NA brize crikey rel NA 5 6 3,81 8 1
12208 208 NONWORD NA dalig daring rel NA 5 6 3,72 2 14
12209 209 NONWORD NA dron dragon rel NA 4 6 4,28 24 5
22210 210 NONWORD NA fims fisher ctrl NA 4 6 3,75 22 5
22211 211 NONWORD NA fongs foetal ctrl NA 5 6 2,84 12 0
22212 212 NONWORD NA lalf killer ctrl NA 4 6 4,37 9 16
22213 213 NONWORD NA lerd lethal ctrl NA 4 6 3,86 18 1
22214 214 NONWORD NA tind polite ctrl NA 4 6 3,89 28 6
22215 215 NONWORD NA rafel raffle ctrl NA 5 6 3,57 4 7
12216 216 NONWORD NA cligh stroke rel NA 5 6 4,19 2 6
12217 217 NONWORD NA claf talker rel NA 4 6 2,86 13 7
12218 218 NONWORD NA cerbs ceramic rel NA 5 7 3,6 9 0
22219 219 NONWORD NA spant clanger ctrl NA 5 7 2,84 11 3
22220 220 NONWORD NA clals classic ctrl NA 5 7 4,69 14 2
22221 221 NONWORD NA fanty fanatic ctrl NA 5 7 3,2 14 0
22222 222 NONWORD NA waser gastric ctrl NA 5 7 3,04 20 0
22223 223 NONWORD NA genth genetic ctrl NA 5 7 3,76 4 2
22224 224 NONWORD NA blamp graphic ctrl NA 5 7 3,7 4 0
12225 225 NONWORD NA kinse kinetic rel NA 5 7 3,11 3 0
12226 226 NONWORD NA flion linkage rel NA 5 7 2,56 3 1
12227 227 NONWORD NA rosty message rel NA 5 7 4,94 8 1
12228 228 NONWORD NA moure moulder rel NA 5 7 2,06 9 4
22229 229 NONWORD NA poth postage ctrl NA 4 7 3,01 25 3
22230 230 NONWORD NA posch pottage ctrl NA 5 7 2,33 8 4
22231 231 NONWORD NA rast scanner ctrl NA 4 7 3,46 32 3
22232 232 NONWORD NA plich scrooge ctrl NA 5 7 2,92 2 0
22233 233 NONWORD NA yage yardage ctrl NA 4 8 2,52 18 0
12234 234 NONWORD NA advock advisory rel NA 6 8 3,35 1 1
12235 235 NONWORD NA cagre category rel NA 5 8 4,41 3 1
12236 236 NONWORD NA fighy hatchery rel NA 5 8 2,79 4 0
22237 237 NONWORD NA malern maternal ctrl NA 6 8 3,45 0 2
22238 238 NONWORD NA posig decision ctrl NA 5 8 5,17 2 2
22239 239 NONWORD NA siter paternal ctrl NA 5 8 3,24 11 1
12240 240 NONWORD NA pluny plonking rel NA 5 8 1,9 5 5
12241 241 NONWORD NA tomed routeing rel NA 5 8 1,54 15 0
12242 242 NONWORD NA snotty snobbery rel NA 6 8 2,92 9 2
12243 243 NONWORD NA chuly swotting rel NA 5 8 2,5 3 4
12244 244 NONWORD NA ranin dysentery rel NA 5 9 2,63 15 0
12245 245 NONWORD NA educon education rel NA 6 9 4,93 0 0
12246 246 NONWORD NA povic hydration rel NA 5 9 2,48 1 0
12247 247 NONWORD NA itiner itinerary rel NA 6 9 2,86 0 0
12248 248 NONWORD NA calin tributary rel NA 5 9 2,55 9 0
22249 249 NONWORD NA repty repertory ctrl NA 5 9 2,45 2 0
12250 250 NONWORD NA nunfy opposition rel NA 5 10 4,73 1 2
12251 251 NONWORD NA blif blush rel NA 4 5 3,19 11 6
12252 252 NONWORD NA sild child rel NA 4 5 5,14 18 5
12253 253 NONWORD NA bemp crush rel NA 4 5 3,92 8 5
22254 254 NONWORD NA blyr friar ctrl NA 4 5 2,98 6 2
22255 255 NONWORD NA slit sleet ctrl NA 4 5 3,36 23 12
22256 256 NONWORD NA trep tract ctrl NA 4 5 3 23 11
12257 257 NONWORD NA amshy ambush rel NA 5 6 3,37 0 0
22258 258 NONWORD NA coul cousin ctrl NA 4 6 4,26 24 3
12259 259 NONWORD NA dalp damsel rel NA 4 6 2,98 9 0
12260 260 NONWORD NA dert desert rel NA 4 6 4,3 39 1
12261 261 NONWORD NA harse gaiety rel NA 5 6 2,59 10 0
12262 262 NONWORD NA crove geisha rel NA 5 6 2,88 11 2
12263 263 NONWORD NA flixy gravel rel NA 5 6 3,68 0 7
22264 264 NONWORD NA mufir muffin ctrl NA 5 6 4 2 8
22265 265 NONWORD NA turp passel ctrl NA 4 6 1,17 17 10
22266 266 NONWORD NA syly pummel ctrl NA 4 6 2,04 5 3
22267 267 NONWORD NA quir signal ctrl NA 4 6 4,25 15 1
22268 268 NONWORD NA sutty summit ctrl NA 5 6 4,18 12 4
22269 269 NONWORD NA quat swivel ctrl NA 4 6 3,02 14 1
22270 270 NONWORD NA mip mosaic ctrl NA 3 6 3,33 53 0
22271 271 NONWORD NA abter abstain ctrl NA 5 7 2,99 9 0
12272 272 NONWORD NA cret asterix rel NA 4 7 2,7 17 0
12273 273 NONWORD NA bist biscuit rel NA 4 7 4,1 28 0
12274 274 NONWORD NA boun bourbon rel NA 4 7 3,07 25 1
22275 275 NONWORD NA cuti culprit ctrl NA 4 7 3,22 12 0
22276 276 NONWORD NA dety deficit ctrl NA 4 7 4,63 14 0
22277 277 NONWORD NA spoff griffin ctrl NA 5 7 3,7 4 1
22278 278 NONWORD NA ilkis illicit ctrl NA 5 7 3,07 0 1
22279 279 NONWORD NA olick olympic ctrl NA 5 7 4,85 5 1
22280 280 NONWORD NA blont phoenix ctrl NA 5 7 3,62 6 0
12281 281 NONWORD NA spaxe plastic rel NA 5 7 4,43 5 3
12282 282 NONWORD NA cous rebound rel NA 4 7 3,24 40 3
12283 283 NONWORD NA phorb penguin rel NA 5 7 3,88 0 0
22284 284 NONWORD NA trepy traffic ctrl NA 5 7 4,54 2 1
22285 285 NONWORD NA furm turmoil ctrl NA 4 7 3,68 13 0
12286 286 NONWORD NA aith airtight rel NA 4 8 2,73 19 0
12287 287 NONWORD NA shuar fibrosis rel NA 5 8 2,95 3 0
12288 288 NONWORD NA plosy supplant rel NA 5 8 1,81 1 0
22289 289 NONWORD NA inpock inherent ctrl NA 6 8 3,14 0 1
12290 290 NONWORD NA cherb vengeful rel NA 5 8 2,55 5 0
12291 291 NONWORD NA skigh skylight rel NA 5 8 2,93 0 0
12292 292 NONWORD NA ruar syphilis rel NA 4 8 3,17 13 0
12293 293 NONWORD NA vigan vigilant rel NA 5 8 3,32 3 1
22294 294 NONWORD NA gylpo highlight ctrl NA 5 9 4,05 1 0
12295 295 NONWORD NA sovign sovereign rel NA 6 9 3,97 0 0
12296 296 NONWORD NA ruffy tamponade rel NA 5 9 2,16 10 0
22297 297 NONWORD NA censar centimetres ctrl NA 6 11 3,84 3 0
12298 298 NONWORD NA ninpoo nincompoops rel NA 6 11 1,9 0 0
22299 299 NONWORD NA leler prosecution ctrl NA 5 11 4,09 5 0
22300 300 NONWORD NA sivert revolutionise ctrl NA 6 13 3,19 1 2
