Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
52	23	Female	Right	B	07/09/2017	15:59:46	1	Prova	wellness	well	4	1286	2
52	23	Female	Right	B	07/09/2017	15:59:46	2	Prova	homeless	home	4	839	2
52	23	Female	Right	B	07/09/2017	15:59:46	3	Prova	tricky	tricker	4	1950	1
52	23	Female	Right	B	07/09/2017	15:59:46	4	Prova	character	char	4	1165	1
52	23	Female	Right	B	07/09/2017	15:59:46	5	Prova	translater	pulter	4	1192	1
52	23	Female	Right	B	07/09/2017	15:59:46	6	Prova2	escape	exat	4	1647	1
52	23	Female	Right	B	07/09/2017	15:59:46	7	Prova2	investigator	invest	4	729	2
52	23	Female	Right	B	07/09/2017	15:59:46	8	Prova2	examiner	exam	4	642	2
52	23	Female	Right	B	07/09/2017	15:59:46	9	Prova2	topic	top	4	570	2
52	23	Female	Right	B	07/09/2017	15:59:46	1	Warmup	unpack	pack	5	643	2
52	23	Female	Right	B	07/09/2017	15:59:46	2	Warmup	tartare	tariff	5	1108	1
52	23	Female	Right	B	07/09/2017	15:59:46	3	Warmup	cowrie	sturms	5	1290	2
52	23	Female	Right	B	07/09/2017	15:59:46	4	Warmup	cortex	newbie	5	997	2
52	23	Female	Right	B	07/09/2017	15:59:46	5	Warmup	pullma	pulm	5	985	1
52	23	Female	Right	B	07/09/2017	15:59:46	1	TrialPrimaParte	damsel	dalp	2	765	1
52	23	Female	Right	B	07/09/2017	15:59:46	2	TrialPrimaParte	extract	extra	1	569	2
52	23	Female	Right	B	07/09/2017	15:59:46	3	TrialPrimaParte	reaction	react	1	541	2
52	23	Female	Right	B	07/09/2017	15:59:46	4	TrialPrimaParte	angelic	angel	1	542	2
52	23	Female	Right	B	07/09/2017	15:59:46	5	TrialPrimaParte	grueling	gruel	1	1330	2
52	23	Female	Right	B	07/09/2017	15:59:46	6	TrialPrimaParte	gastric	waser	2	1129	2
52	23	Female	Right	B	07/09/2017	15:59:46	7	TrialPrimaParte	facetious	facet	1	1691	2
52	23	Female	Right	B	07/09/2017	15:59:46	8	TrialPrimaParte	opposition	nunfy	2	1056	1
52	23	Female	Right	B	07/09/2017	15:59:46	9	TrialPrimaParte	legendary	legend	1	622	2
52	23	Female	Right	B	07/09/2017	15:59:46	10	TrialPrimaParte	talker	claf	2	1138	1
52	23	Female	Right	B	07/09/2017	15:59:46	11	TrialPrimaParte	editor	plan	0	692	2
52	23	Female	Right	B	07/09/2017	15:59:46	12	TrialPrimaParte	stilted	stilt	1	1517	1
52	23	Female	Right	B	07/09/2017	15:59:46	13	TrialPrimaParte	child	sild	2	927	1
52	23	Female	Right	B	07/09/2017	15:59:46	14	TrialPrimaParte	firmly	heave	0	557	2
52	23	Female	Right	B	07/09/2017	15:59:46	15	TrialPrimaParte	mosaic	mip	2	843	1
52	23	Female	Right	B	07/09/2017	15:59:46	16	TrialPrimaParte	keeper	gala	0	793	2
52	23	Female	Right	B	07/09/2017	15:59:46	17	TrialPrimaParte	oxygenate	oxygen	1	652	2
52	23	Female	Right	B	07/09/2017	15:59:46	18	TrialPrimaParte	bourbon	boun	2	1397	1
52	23	Female	Right	B	07/09/2017	15:59:46	19	TrialPrimaParte	stroke	cligh	2	1278	1
52	23	Female	Right	B	07/09/2017	15:59:46	20	TrialPrimaParte	feudal	arch	0	782	2
52	23	Female	Right	B	07/09/2017	15:59:46	21	TrialPrimaParte	villain	villa	1	1546	1
52	23	Female	Right	B	07/09/2017	15:59:46	22	TrialPrimaParte	downs	risk	0	639	2
52	23	Female	Right	B	07/09/2017	15:59:46	23	TrialPrimaParte	lethal	lerd	2	849	1
52	23	Female	Right	B	07/09/2017	15:59:46	24	TrialPrimaParte	watery	cream	0	617	2
